"","ID","Description","Count","GeneRatio","geneID"
"GO:0007623","GO:0007623","circadian rhythm",2,"2/109","EGR1/EGR3"
"GO:0042698","GO:0042698","ovulation cycle",1,"1/109","EGR1"
"GO:0045780","GO:0045780","positive regulation of bone resorption",1,"1/109","TFRC"
"GO:0048584","GO:0048584","positive regulation of response to stimulus",20,"20/109","CCN1/CCN2/WLS/HPSE/PRNP/RSAD2/EIF5A/RACK1/HMGB1/TGM2/CD81/MYC/TFRC/RPS3/SFRP1/IL1R1/TIMP3/NPNT/TP63/IL33"
"GO:0051050","GO:0051050","positive regulation of transport",5,"5/109","ATP1B1/WLS/PRNP/RACK1/CD81"
"GO:0075294","GO:0075294","positive regulation by symbiont of entry into host",1,"1/109","P4HB"
"GO:0110151","GO:0110151","positive regulation of biomineralization",1,"1/109","CCN1"
"GO:1900048","GO:1900048","positive regulation of hemostasis",1,"1/109","HPSE"
"GO:1904181","GO:1904181","positive regulation of membrane depolarization",1,"1/109","RACK1"
"GO:1904951","GO:1904951","positive regulation of establishment of protein localization",4,"4/109","WLS/PRNP/RACK1/CD81"
"GO:0048585","GO:0048585","negative regulation of response to stimulus",11,"11/109","EGR1/PRNP/RACK1/MYC/RPS3/SFRP1/DUSP6/IGFBP2/MUC1/TIMP3/TP63"
"GO:0051051","GO:0051051","negative regulation of transport",5,"5/109","RRAD/RSAD2/RACK1/HMGB1/SFRP1"
"GO:1900272","GO:1900272","negative regulation of long-term synaptic potentiation",1,"1/109","PRNP"
"GO:1904950","GO:1904950","negative regulation of establishment of protein localization",2,"2/109","RSAD2/SFRP1"
"GO:0032879","GO:0032879","regulation of localization",21,"21/109","ATP1B1/BPIFA1/DEFB1/CCN1/RRAD/WLS/PRNP/RSAD2/RACK1/ATP5F1B/HMGB1/TGM2/CD81/TPM1/TFRC/SFRP1/TMSB10/DSP/IL1R1/LMO4/DNAJA4"
"GO:0043903","GO:0043903","regulation of biological process involved in symbiotic interaction",2,"2/109","BPIFA1/P4HB"
"GO:0048518","GO:0048518","positive regulation of biological process",52,"52/109","EGR1/ATP1B1/DEFB1/RBM3/CCN1/CCN2/SULT1E1/BTG2/WLS/HPSE/CAPNS1/EGR3/P4HB/PRNP/NCL/HNRNPA1/RPL5/WARS1/RSAD2/EIF5A/CLSTN1/RACK1/ATP5F1B/HMGB1/TGM2/CD81/TPM1/BTG1/MYC/CIRBP/TFRC/RPS3/SFRP1/JUNB/RPS4X/PSME1/DUSP6/NIBAN1/NME2/IL1R1/IGFBP2/NR4A1/MUC1/RPS9/CRLF1/TFCP2L1/LMO4/TIMP3/NPNT/TP63/IL33/DNAJA4"
"GO:0048519","GO:0048519","negative regulation of biological process",44,"44/109","EGR1/BPIFA1/CCN1/RRAD/RPL13A/CCN2/BTG2/EGR3/PRNP/NCL/HNRNPA1/RPL5/WARS1/RSAD2/SERPINB1/RACK1/HMGB1/CBX3/APLP2/TPM1/BTG1/MYC/CIRBP/TFRC/RPS3/SFRP1/PABPC4/TMSB10/DUSP6/NIBAN1/NME2/IGFBP2/RPS14/NR4A1/MUC1/CRLF1/TFCP2L1/LMO4/TIMP3/SCGB1A1/TP63/IL33/DNAJB1/DNAJA4"
"GO:0048583","GO:0048583","regulation of response to stimulus",28,"28/109","EGR1/CCN1/CCN2/WLS/HPSE/P4HB/PRNP/RPL5/RSAD2/EIF5A/RACK1/HMGB1/TGM2/CD81/MYC/TFRC/RPS3/SFRP1/DUSP6/IL1R1/IGFBP2/MUC1/TIMP3/NPNT/SCGB1A1/TP63/IL33/DNAJB1"
"GO:0098900","GO:0098900","regulation of action potential",1,"1/109","DSP"
"GO:0110149","GO:0110149","regulation of biomineralization",1,"1/109","CCN1"
"GO:1900046","GO:1900046","regulation of hemostasis",1,"1/109","HPSE"
"GO:0006950","GO:0006950","response to stress",37,"37/109","HSPA6/EGR1/ATP1B1/BPIFA1/DEFB1/CCN1/RPL13A/CCN2/BTG2/HPSE/P4HB/PRNP/HNRNPA1/RSAD2/RACK1/HMGB1/CBX3/TGM2/CD81/TPM1/BTG1/MYC/CIRBP/RPS3/SFRP1/PABPC4/DUSP6/NIBAN1/DSP/NME2/IL1R1/MUC1/SCGB1A1/TP63/IL33/DNAJB1/DNAJA4"
"GO:0009605","GO:0009605","response to external stimulus",22,"22/109","BPIFA1/DEFB1/CCN1/RPL13A/BTG2/HPSE/EGR3/HNRNPA1/RSAD2/EIF5A/HMGB1/TGM2/CD81/SFRP1/NPC2/IL1R1/IGFBP2/NR4A1/RPL24/NPNT/SCGB1A1/IL33"
"GO:0009607","GO:0009607","response to biotic stimulus",9,"9/109","BPIFA1/DEFB1/RPL13A/RSAD2/EIF5A/HMGB1/NPC2/NR4A1/SCGB1A1"
"GO:0009628","GO:0009628","response to abiotic stimulus",13,"13/109","HSPA6/EGR1/ATP1B1/CCN2/BTG2/P4HB/MYC/CIRBP/SFRP1/IGFBP2/NR4A1/DNAJB1/DNAJA4"
"GO:0009719","GO:0009719","response to endogenous stimulus",20,"20/109","EGR1/CCN1/CCN2/BTG2/EGR3/PRNP/NCL/HMGB1/TGM2/CD81/BTG1/SFRP1/NME2/IGFBP2/NR4A1/LTBP2/TIMP3/NPNT/SCGB1A1/TP63"
"GO:0042221","GO:0042221","response to chemical",42,"42/109","HSPA6/EGR1/DEFB1/CCN1/RPL13A/CCN2/BTG2/EGR3/P4HB/PRNP/NCL/HNRNPA1/EIF5A/MPST/RACK1/HMGB1/TGM2/CD81/TPM1/BTG1/MYC/TFRC/RPLP0/RPS3/RPL18A/SFRP1/JUNB/DUSP6/NME2/IL1R1/IGFBP2/NR4A1/RPL24/CRLF1/LTBP2/TIMP3/EEF1B2/NPNT/SCGB1A1/TP63/IL33/DNAJB1"
"GO:0051606","GO:0051606","detection of stimulus",1,"1/109","RPS3"
"GO:0031503","GO:0031503","protein-containing complex localization",1,"1/109","CLSTN1"
"GO:0033036","GO:0033036","macromolecule localization",18,"18/109","ATP1B1/WLS/PRNP/HNRNPA1/RSAD2/EIF5A/CLSTN1/RACK1/CD81/WDR83OS/TFRC/SFRP1/TMSB10/SCAMP2/DSP/NPC2/LTBP2/NPNT"
"GO:0051234","GO:0051234","establishment of localization",27,"27/109","HSPA6/ATP1B1/BPIFA1/RRAD/CCN2/WLS/PRNP/HNRNPA1/RSAD2/EIF5A/CLSTN1/RACK1/ATP5F1B/HMGB1/TGM2/CD81/MYC/WDR83OS/TFRC/SFRP1/SCAMP2/NPC2/SLC25A6/NR4A1/LTBP2/NPNT/SDCBP2"
"GO:0051235","GO:0051235","maintenance of location",1,"1/109","TMSB10"
"GO:0044010","GO:0044010","single-species biofilm formation",1,"1/109","BPIFA1"
"GO:0050789","GO:0050789","regulation of biological process",71,"71/109","EGR1/ATP1B1/BPIFA1/DEFB1/RBM3/CCN1/RRAD/RPL13A/CCN2/SULT1E1/GFRA1/BTG2/WLS/HPSE/CAPNS1/EGR3/P4HB/PRNP/NCL/HNRNPA1/RPL5/WARS1/RSAD2/EIF5A/SERPINB1/CLSTN1/RACK1/ATP5F1B/HMGB1/CBX3/TGM2/APLP2/CD81/BCAM/TPM1/BTG1/MYC/CIRBP/TFRC/EIF3K/RPS3/SFRP1/PABPC4/JUNB/TMSB10/RPS4X/PSME1/DUSP6/NIBAN1/RPL6/DSP/NME2/NPC2/IL1R1/IGFBP2/RPS14/NR4A1/MUC1/RPS9/CRLF1/LTBP2/TFCP2L1/LMO4/TIMP3/NPNT/SCGB1A1/TP63/IL33/SDCBP2/DNAJB1/DNAJA4"
"GO:0065008","GO:0065008","regulation of biological quality",31,"31/109","EGR1/ATP1B1/BPIFA1/CCN2/SULT1E1/BTG2/HPSE/PRNP/RPL5/CLSTN1/RACK1/ATP5F1B/HMGB1/RPS5/TGM2/CD81/TPM1/MYC/CIRBP/TFRC/SFRP1/PABPC4/TMSB10/DSP/NME2/NPC2/RPS14/NR4A1/RPS9/SCGB1A1/TP63"
"GO:0065009","GO:0065009","regulation of molecular function",28,"28/109","EGR1/ATP1B1/CCN1/RRAD/CCN2/PRNP/RPL5/WARS1/SERPINB1/RACK1/HMGB1/TGM2/APLP2/CD81/TPM1/MYC/TFRC/RPS3/SFRP1/PSME1/NR4A1/LMO4/TIMP3/EEF1B2/NPNT/SCGB1A1/TP63/DNAJB1"
"GO:0031214","GO:0031214","biomineral tissue development",1,"1/109","CCN1"
