"","ID","Description","Count","GeneRatio","geneID"
"GO:1900047","GO:1900047","negative regulation of hemostasis",1,"1/97","PLAT"
"GO:0032879","GO:0032879","regulation of localization",28,"28/97","CCN1/DUSP1/TRIB1/SDC4/HSPA5/DNAAF1/AGR2/SPP1/ACSL4/CD47/TMSB10/TMEM30A/NR2F2/TSPAN13/EPCAM/ZFP36/BPIFA1/HBEGF/SDC1/RHOB/ICAM1/MMP7/NOX4/SPRED1/VEGFA/TPM1/PTGS2/F3"
"GO:0043903","GO:0043903","regulation of biological process involved in symbiotic interaction",1,"1/97","BPIFA1"
"GO:0048518","GO:0048518","positive regulation of biological process",44,"44/97","JUN/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/TRIB1/ATF3/SDC4/RAMP1/ABCC4/HSPA5/AGR2/PDIA3/SPP1/ACSL4/CD47/AGRN/BASP1/TMEM30A/NR2F2/APOBEC1/SRSF6/PPIB/EPCAM/ZFP36/HBEGF/SDC1/TPPP3/FOSB/RHOB/ECE1/S100A10/ICAM1/CDC42EP3/MMP7/NOX4/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0048519","GO:0048519","negative regulation of biological process",41,"41/97","JUN/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/ATF3/RPS13/PLAT/KRT18/SDC4/EFEMP1/HSPA5/AGR2/SPP1/CD47/TMSB10/BASP1/NR2F2/APOBEC1/OXR1/SRSF6/BACE2/EPCAM/ZFP36/BPIFA1/HBEGF/PMEPA1/FOSB/RHOB/ICAM1/NOX4/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2"
"GO:0048583","GO:0048583","regulation of response to stimulus",24,"24/97","FOXJ1/RPL37/CCN1/DUSP1/TRIB1/ATF3/PLAT/RAMP1/HSPA5/AGR2/PDIA3/SPP1/CD47/OXR1/SRSF6/ZFP36/HBEGF/PMEPA1/ICAM1/SPRED1/VEGFA/KLF2/PTGS2/F3"
"GO:0110149","GO:0110149","regulation of biomineralization",1,"1/97","CCN1"
"GO:1900046","GO:1900046","regulation of hemostasis",2,"2/97","PLAT/F3"
"GO:0006950","GO:0006950","response to stress",36,"36/97","JUN/CCN1/TXNIP/DUSP1/TRIB1/HSP90B1/RPL30/ATF3/PLAT/SDC4/HSPA5/AGR2/PDIA3/SPP1/PON2/CD47/PLOD2/APOBEC1/SRXN1/OXR1/SRSF6/CETN2/ZFP36/BPIFA1/HBEGF/SDC1/RHOB/ICAM1/NOX4/CUL4B/SPRED1/VEGFA/TPM1/KLF2/PTGS2/F3"
"GO:0009605","GO:0009605","response to external stimulus",25,"25/97","JUN/CCN1/TXNIP/DUSP1/TRIB1/RPL30/ATF3/PLAT/KRT18/HSPA5/SPP1/ACSL4/CD47/APOBEC1/PPIB/ZFP36/BPIFA1/HBEGF/FOSB/ICAM1/MMP7/VEGFA/NR4A1/PTGS2/F3"
"GO:0009607","GO:0009607","response to biotic stimulus",12,"12/97","JUN/TXNIP/TRIB1/RPL30/HSPA5/CD47/APOBEC1/ZFP36/BPIFA1/ICAM1/NR4A1/PTGS2"
"GO:0009628","GO:0009628","response to abiotic stimulus",17,"17/97","JUN/TXNIP/DUSP1/HSP90B1/PLAT/HSPA5/PLOD2/APOBEC1/FOSB/RHOB/ICAM1/MMP7/NOX4/CUL4B/VEGFA/NR4A1/PTGS2"
"GO:0009719","GO:0009719","response to endogenous stimulus",21,"21/97","JUN/CCN1/TXNIP/DUSP1/HSP90B1/RAMP1/HSPA5/SPP1/APOBEC1/SRSF6/ZFP36/ME1/PMEPA1/SDC1/FOSB/ICAM1/NOX4/SPRED1/KLF2/NR4A1/PTGS2"
"GO:0042221","GO:0042221","response to chemical",43,"43/97","JUN/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/ATF3/KRT18/RAMP1/ABCC4/HSPA5/AGR2/PDIA3/SPP1/PON2/ACSL4/CD47/AGRN/TXNDC17/NR2F2/APOBEC1/SRXN1/OXR1/SRSF6/PPIB/ZFP36/ME1/HBEGF/PMEPA1/SDC1/FOSB/RHOB/S100A10/ICAM1/NOX4/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0033036","GO:0033036","macromolecule localization",21,"21/97","FOXJ1/TXNIP/HSP90B1/KRT18/RAMP1/ABCC4/HSPA5/AGR2/LRP10/SPP1/SEC62/ACSL4/AGRN/TMSB10/TMEM30A/SSR2/CETN2/ZFP36/RHOB/S100A10/PTGS2"
"GO:0051234","GO:0051234","establishment of localization",31,"31/97","TXNIP/HSP90B1/GABRP/ATP6V0E1/KRT18/SDC4/RAMP1/ABCC4/HSPA5/DNAAF1/AGR2/LRP10/SPP1/SEC62/ACSL4/CD47/TMEM30A/SSR2/FCGRT/TSPAN13/CETN2/ZFP36/BPIFA1/SDC1/RHOB/S100A10/ICAM1/VEGFA/LOXL4/NR4A1/PTGS2"
"GO:0051235","GO:0051235","maintenance of location",3,"3/97","HSP90B1/HSPA5/TMSB10"
"GO:0044010","GO:0044010","single-species biofilm formation",1,"1/97","BPIFA1"
"GO:0050789","GO:0050789","regulation of biological process",64,"64/97","JUN/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/ATF3/GABRP/RPS13/PLAT/ATP6V0E1/KRT18/SDC4/RAMP1/EFEMP1/ABCC4/HSPA5/DNAAF1/AGR2/PDIA3/SPP1/ACSL4/CD47/SORBS2/AGRN/TMSB10/TXNDC17/BASP1/TMEM30A/NR2F2/APOBEC1/TSPAN13/OXR1/SRSF6/CETN2/CDH6/BACE2/PPIB/EPCAM/ZFP36/BPIFA1/ME1/HBEGF/PMEPA1/SDC1/TPPP3/FOSB/RHOB/ECE1/S100A10/ICAM1/CDC42EP3/MMP7/NOX4/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0065008","GO:0065008","regulation of biological quality",27,"27/97","JUN/HSP90B1/GABRP/PLAT/ATP6V0E1/AGR2/SPP1/ACSL4/AGRN/TMSB10/TMEM30A/NR2F2/BACE2/PPIB/ZFP36/BPIFA1/RHOB/ECE1/LSS/ICAM1/CDC42EP3/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0065009","GO:0065009","regulation of molecular function",25,"25/97","JUN/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/SDC4/RAMP1/AGRN/NR2F2/APOBEC1/ZFP36/HBEGF/S100A10/ICAM1/NOX4/SPRED1/VEGFA/TPM1/NR4A1/PTGS2/F3"
"GO:0031214","GO:0031214","biomineral tissue development",3,"3/97","CCN1/SPP1/PTGS2"
