"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034612","GO:0034612","response to tumor necrosis factor","4/105","253/18723",0.0541218797826512,0.279335271803402,0.245162324060556,"EIF5A/RPS3/SFRP1/NPNT",4
"GO:0060828","GO:0060828","regulation of canonical Wnt signaling pathway","4/105","253/18723",0.0541218797826512,0.279335271803402,0.245162324060556,"EGR1/WLS/SFRP1/IGFBP2",4
"GO:0006879","GO:0006879","cellular iron ion homeostasis","2/105","67/18723",0.0544224588359021,0.279335271803402,0.245162324060556,"MYC/TFRC",2
"GO:0042130","GO:0042130","negative regulation of T cell proliferation","2/105","67/18723",0.0544224588359021,0.279335271803402,0.245162324060556,"PRNP/SCGB1A1",2
"GO:0061077","GO:0061077","chaperone-mediated protein folding","2/105","67/18723",0.0544224588359021,0.279335271803402,0.245162324060556,"HSPA6/DNAJB1",2
"GO:2000514","GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","2/105","67/18723",0.0544224588359021,0.279335271803402,0.245162324060556,"HMGB1/CD81",2
"GO:0090130","GO:0090130","tissue migration","5/105","365/18723",0.0546569588885871,0.279335271803402,0.245162324060556,"EGR3/ATP5F1B/HMGB1/NR4A1/DNAJA4",5
"GO:0000098","GO:0000098","sulfur amino acid catabolic process","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"MPST",1
"GO:0002291","GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"CD81",1
"GO:0002934","GO:0002934","desmosome organization","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"DSP",1
"GO:0006228","GO:0006228","UTP biosynthetic process","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"NME2",1
"GO:0006560","GO:0006560","proline metabolic process","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"OAT",1
"GO:0007028","GO:0007028","cytoplasm organization","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"TFCP2L1",1
"GO:0009950","GO:0009950","dorsal/ventral axis specification","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"SFRP1",1
"GO:0010944","GO:0010944","negative regulation of transcription by competitive promoter binding","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"MUC1",1
"GO:0018401","GO:0018401","peptidyl-proline hydroxylation to 4-hydroxy-L-proline","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"P4HB",1
"GO:0019062","GO:0019062","virion attachment to host cell","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"CD81",1
"GO:0033089","GO:0033089","positive regulation of T cell differentiation in thymus","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"EGR3",1
"GO:0033572","GO:0033572","transferrin transport","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"TFRC",1
"GO:0035860","GO:0035860","glial cell-derived neurotrophic factor receptor signaling pathway","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"GFRA1",1
"GO:0042996","GO:0042996","regulation of Golgi to plasma membrane protein transport","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"RACK1",1
"GO:0045898","GO:0045898","regulation of RNA polymerase II transcription preinitiation complex assembly","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"HMGB1",1
"GO:0050861","GO:0050861","positive regulation of B cell receptor signaling pathway","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"CD81",1
"GO:0051342","GO:0051342","regulation of cyclic-nucleotide phosphodiesterase activity","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"RACK1",1
"GO:0051409","GO:0051409","response to nitrosative stress","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"DUSP6",1
"GO:0060513","GO:0060513","prostatic bud formation","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"TP63",1
"GO:0072124","GO:0072124","regulation of glomerular mesangial cell proliferation","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"EGR1",1
"GO:0090179","GO:0090179","planar cell polarity pathway involved in neural tube closure","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"SFRP1",1
"GO:0090647","GO:0090647","modulation of age-related behavioral decline","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"PRNP",1
"GO:1901838","GO:1901838","positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"NCL",1
"GO:1904338","GO:1904338","regulation of dopaminergic neuron differentiation","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"SFRP1",1
"GO:1904350","GO:1904350","regulation of protein catabolic process in the vacuole","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"CD81",1
"GO:1990535","GO:1990535","neuron projection maintenance","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"PRNP",1
"GO:2000434","GO:2000434","regulation of protein neddylation","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"RPL5",1
"GO:2000659","GO:2000659","regulation of interleukin-1-mediated signaling pathway","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"IL1R1",1
"GO:2001225","GO:2001225","regulation of chloride transport","1/105","10/18723",0.0546992599371257,0.279335271803402,0.245162324060556,"PRNP",1
"GO:1903362","GO:1903362","regulation of cellular protein catabolic process","4/105","255/18723",0.055402455347466,0.279335271803402,0.245162324060556,"RPL5/RACK1/CD81/PSME1",4
"GO:1903706","GO:1903706","regulation of hemopoiesis","5/105","367/18723",0.0557000589411014,0.279335271803402,0.245162324060556,"EGR3/HMGB1/MYC/SFRP1/NME2",5
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","3/105","154/18723",0.0557617801106745,0.279335271803402,0.245162324060556,"BTG1/NME2/TP63",3
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","2/105","68/18723",0.0558717534804468,0.279335271803402,0.245162324060556,"ATP5F1B/NME2",2
"GO:1902305","GO:1902305","regulation of sodium ion transmembrane transport","2/105","68/18723",0.0558717534804468,0.279335271803402,0.245162324060556,"ATP1B1/BPIFA1",2
"GO:1903522","GO:1903522","regulation of blood circulation","4/105","256/18723",0.0560488834596886,0.279335271803402,0.245162324060556,"ATP1B1/CCN2/TPM1/DSP",4
"GO:0007519","GO:0007519","skeletal muscle tissue development","3/105","155/18723",0.0566388826256311,0.279335271803402,0.245162324060556,"EGR1/BTG2/NR4A1",3
"GO:0034614","GO:0034614","cellular response to reactive oxygen species","3/105","155/18723",0.0566388826256311,0.279335271803402,0.245162324060556,"RACK1/TPM1/RPS3",3
"GO:0030217","GO:0030217","T cell differentiation","4/105","257/18723",0.0566993993504475,0.279335271803402,0.245162324060556,"EGR1/EGR3/RSAD2/HMGB1",4
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process","2/105","69/18723",0.0573345579534187,0.279335271803402,0.245162324060556,"ATP5F1B/NME2",2
"GO:0034605","GO:0034605","cellular response to heat","2/105","69/18723",0.0573345579534187,0.279335271803402,0.245162324060556,"HSPA6/DNAJB1",2
"GO:1901224","GO:1901224","positive regulation of NIK/NF-kappaB signaling","2/105","69/18723",0.0573345579534187,0.279335271803402,0.245162324060556,"HMGB1/RPS3",2
"GO:1904377","GO:1904377","positive regulation of protein localization to cell periphery","2/105","69/18723",0.0573345579534187,0.279335271803402,0.245162324060556,"PRNP/RACK1",2
"GO:0046631","GO:0046631","alpha-beta T cell activation","3/105","156/18723",0.0575225693434449,0.279335271803402,0.245162324060556,"RSAD2/HMGB1/CD81",3
"GO:0051017","GO:0051017","actin filament bundle assembly","3/105","157/18723",0.0584128148279035,0.279335271803402,0.245162324060556,"CCN2/TPM1/SFRP1",3
"GO:0060415","GO:0060415","muscle tissue morphogenesis","2/105","70/18723",0.0588106784501178,0.279335271803402,0.245162324060556,"TPM1/DSP",2
"GO:0030098","GO:0030098","lymphocyte differentiation","5/105","374/18723",0.0594416938904785,0.279335271803402,0.245162324060556,"EGR1/EGR3/RSAD2/HMGB1/SFRP1",5
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","5/105","375/18723",0.0599877367650984,0.279335271803402,0.245162324060556,"PRNP/RACK1/CD81/SFRP1/CRLF1",5
"GO:0006183","GO:0006183","GTP biosynthetic process","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"NME2",1
"GO:0006449","GO:0006449","regulation of translational termination","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"EIF5A",1
"GO:0006527","GO:0006527","arginine catabolic process","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"OAT",1
"GO:0010248","GO:0010248","establishment or maintenance of transmembrane electrochemical gradient","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"ATP1B1",1
"GO:0034975","GO:0034975","protein folding in endoplasmic reticulum","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"P4HB",1
"GO:0042447","GO:0042447","hormone catabolic process","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"SULT1E1",1
"GO:0042989","GO:0042989","sequestering of actin monomers","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"TMSB10",1
"GO:0043589","GO:0043589","skin morphogenesis","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"TP63",1
"GO:0046598","GO:0046598","positive regulation of viral entry into host cell","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"P4HB",1
"GO:0046643","GO:0046643","regulation of gamma-delta T cell activation","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"EGR3",1
"GO:0051561","GO:0051561","positive regulation of mitochondrial calcium ion concentration","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"TGM2",1
"GO:0051798","GO:0051798","positive regulation of hair follicle development","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"HPSE",1
"GO:0060742","GO:0060742","epithelial cell differentiation involved in prostate gland development","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"TP63",1
"GO:0072110","GO:0072110","glomerular mesangial cell proliferation","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"EGR1",1
"GO:0075294","GO:0075294","positive regulation by symbiont of entry into host","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"P4HB",1
"GO:0090178","GO:0090178","regulation of establishment of planar polarity involved in neural tube closure","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"SFRP1",1
"GO:1902093","GO:1902093","positive regulation of flagellated sperm motility","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"DEFB1",1
"GO:1904181","GO:1904181","positive regulation of membrane depolarization","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"RACK1",1
"GO:2000155","GO:2000155","positive regulation of cilium-dependent cell motility","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"DEFB1",1
"GO:2000343","GO:2000343","positive regulation of chemokine (C-X-C motif) ligand 2 production","1/105","11/18723",0.0600034109394555,0.279335271803402,0.245162324060556,"HMGB1",1
"GO:0035966","GO:0035966","response to topologically incorrect protein","3/105","159/18723",0.0602128786960227,0.279335271803402,0.245162324060556,"HSPA6/RACK1/DNAJB1",3
"GO:1903169","GO:1903169","regulation of calcium ion transmembrane transport","3/105","159/18723",0.0602128786960227,0.279335271803402,0.245162324060556,"ATP1B1/RRAD/PRNP",3
"GO:0003208","GO:0003208","cardiac ventricle morphogenesis","2/105","71/18723",0.0602999228774927,0.279335271803402,0.245162324060556,"TPM1/DSP",2
"GO:0003281","GO:0003281","ventricular septum development","2/105","71/18723",0.0602999228774927,0.279335271803402,0.245162324060556,"CCN1/LMO4",2
"GO:0072078","GO:0072078","nephron tubule morphogenesis","2/105","71/18723",0.0602999228774927,0.279335271803402,0.245162324060556,"MYC/NPNT",2
"GO:0044282","GO:0044282","small molecule catabolic process","5/105","376/18723",0.0605366587729502,0.279335271803402,0.245162324060556,"SULT1E1/MPST/TPI1/ALDH2/OAT",5
"GO:0043588","GO:0043588","skin development","4/105","263/18723",0.0606880713946944,0.279335271803402,0.245162324060556,"HPSE/DSP/NME2/TP63",4
"GO:0018212","GO:0018212","peptidyl-tyrosine modification","5/105","378/18723",0.0616431368751768,0.279335271803402,0.245162324060556,"PRNP/RACK1/CD81/SFRP1/CRLF1",5
"GO:0001736","GO:0001736","establishment of planar polarity","2/105","72/18723",0.0618021008413417,0.279335271803402,0.245162324060556,"SFRP1/TP63",2
"GO:0007164","GO:0007164","establishment of tissue polarity","2/105","72/18723",0.0618021008413417,0.279335271803402,0.245162324060556,"SFRP1/TP63",2
"GO:0033627","GO:0033627","cell adhesion mediated by integrin","2/105","72/18723",0.0618021008413417,0.279335271803402,0.245162324060556,"MUC1/NPNT",2
"GO:0043903","GO:0043903","regulation of biological process involved in symbiotic interaction","2/105","72/18723",0.0618021008413417,0.279335271803402,0.245162324060556,"BPIFA1/P4HB",2
"GO:0050709","GO:0050709","negative regulation of protein secretion","2/105","72/18723",0.0618021008413417,0.279335271803402,0.245162324060556,"RSAD2/SFRP1",2
"GO:0071479","GO:0071479","cellular response to ionizing radiation","2/105","72/18723",0.0618021008413417,0.279335271803402,0.245162324060556,"EGR1/SFRP1",2
"GO:1903036","GO:1903036","positive regulation of response to wounding","2/105","72/18723",0.0618021008413417,0.279335271803402,0.245162324060556,"HPSE/HMGB1",2
"GO:0061572","GO:0061572","actin filament bundle organization","3/105","161/18723",0.0620388642088636,0.279335271803402,0.245162324060556,"CCN2/TPM1/SFRP1",3
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","5/105","379/18723",0.0622006910966304,0.279335271803402,0.245162324060556,"PRNP/SERPINB1/APLP2/NR4A1/TIMP3",5
"GO:0032732","GO:0032732","positive regulation of interleukin-1 production","2/105","73/18723",0.063317023633602,0.279335271803402,0.245162324060556,"EGR1/HMGB1",2
"GO:0035924","GO:0035924","cellular response to vascular endothelial growth factor stimulus","2/105","73/18723",0.063317023633602,0.279335271803402,0.245162324060556,"EGR3/NR4A1",2
"GO:0045739","GO:0045739","positive regulation of DNA repair","2/105","73/18723",0.063317023633602,0.279335271803402,0.245162324060556,"HMGB1/RPS3",2
"GO:0061035","GO:0061035","regulation of cartilage development","2/105","73/18723",0.063317023633602,0.279335271803402,0.245162324060556,"CCN1/CCN2",2
"GO:0072088","GO:0072088","nephron epithelium morphogenesis","2/105","73/18723",0.063317023633602,0.279335271803402,0.245162324060556,"MYC/NPNT",2
"GO:0051348","GO:0051348","negative regulation of transferase activity","4/105","268/18723",0.0641234454505685,0.279335271803402,0.245162324060556,"RPL5/WARS1/RACK1/SFRP1",4
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","5/105","383/18723",0.0644596499185006,0.279335271803402,0.245162324060556,"CCN2/TPM1/RPS3/SFRP1/TMSB10",5
"GO:0002437","GO:0002437","inflammatory response to antigenic stimulus","2/105","74/18723",0.0648445042197265,0.279335271803402,0.245162324060556,"HMGB1/CD81",2
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process","2/105","74/18723",0.0648445042197265,0.279335271803402,0.245162324060556,"ATP5F1B/NME2",2
"GO:0033143","GO:0033143","regulation of intracellular steroid hormone receptor signaling pathway","2/105","74/18723",0.0648445042197265,0.279335271803402,0.245162324060556,"SFRP1/TP63",2
"GO:1903201","GO:1903201","regulation of oxidative stress-induced cell death","2/105","74/18723",0.0648445042197265,0.279335271803402,0.245162324060556,"P4HB/RACK1",2
"GO:0014706","GO:0014706","striated muscle tissue development","5/105","384/18723",0.0650315687097538,0.279335271803402,0.245162324060556,"EGR1/BTG2/TPM1/DSP/NR4A1",5
"GO:0002424","GO:0002424","T cell mediated immune response to tumor cell","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"HMGB1",1
"GO:0002863","GO:0002863","positive regulation of inflammatory response to antigenic stimulus","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"CD81",1
"GO:0003353","GO:0003353","positive regulation of cilium movement","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"DEFB1",1
"GO:0006534","GO:0006534","cysteine metabolic process","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"MPST",1
"GO:0021527","GO:0021527","spinal cord association neuron differentiation","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"LMO4",1
"GO:0033629","GO:0033629","negative regulation of cell adhesion mediated by integrin","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"MUC1",1
"GO:0034145","GO:0034145","positive regulation of toll-like receptor 4 signaling pathway","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"HMGB1",1
"GO:0034154","GO:0034154","toll-like receptor 7 signaling pathway","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"RSAD2",1
"GO:0035112","GO:0035112","genitalia morphogenesis","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"TP63",1
"GO:0035739","GO:0035739","CD4-positive, alpha-beta T cell proliferation","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"CD81",1
"GO:0043471","GO:0043471","regulation of cellular carbohydrate catabolic process","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"HMGB1",1
"GO:0044650","GO:0044650","adhesion of symbiont to host cell","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"CD81",1
"GO:0045605","GO:0045605","negative regulation of epidermal cell differentiation","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"TP63",1
"GO:0045683","GO:0045683","negative regulation of epidermis development","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"TP63",1
"GO:0046051","GO:0046051","UTP metabolic process","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"NME2",1
"GO:0060442","GO:0060442","branching involved in prostate gland morphogenesis","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"SFRP1",1
"GO:0060601","GO:0060601","lateral sprouting from an epithelium","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"TP63",1
"GO:0061430","GO:0061430","bone trabecula morphogenesis","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"SFRP1",1
"GO:0061517","GO:0061517","macrophage proliferation","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"IL33",1
"GO:0090177","GO:0090177","establishment of planar polarity involved in neural tube closure","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"SFRP1",1
"GO:0097201","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"DNAJB1",1
"GO:0098911","GO:0098911","regulation of ventricular cardiac muscle cell action potential","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"DSP",1
"GO:1902950","GO:1902950","regulation of dendritic spine maintenance","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"PRNP",1
"GO:1903909","GO:1903909","regulation of receptor clustering","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"CD81",1
"GO:1904667","GO:1904667","negative regulation of ubiquitin protein ligase activity","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"RPL5",1
"GO:2000303","GO:2000303","regulation of ceramide biosynthetic process","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"CCN1",1
"GO:2000561","GO:2000561","regulation of CD4-positive, alpha-beta T cell proliferation","1/105","12/18723",0.0652780818378818,0.279335271803402,0.245162324060556,"CD81",1
"GO:0071772","GO:0071772","response to BMP","3/105","165/18723",0.06576773525509,0.280317342400214,0.246024251408118,"EGR1/CCN1/SFRP1",3
"GO:0071773","GO:0071773","cellular response to BMP stimulus","3/105","165/18723",0.06576773525509,0.280317342400214,0.246024251408118,"EGR1/CCN1/SFRP1",3
"GO:0045860","GO:0045860","positive regulation of protein kinase activity","5/105","386/18723",0.0661840110479693,0.280317342400214,0.246024251408118,"EGR1/CCN1/PRNP/HMGB1/RPS3",5
"GO:0050727","GO:0050727","regulation of inflammatory response","5/105","386/18723",0.0661840110479693,0.280317342400214,0.246024251408118,"TGM2/CD81/IL1R1/SCGB1A1/IL33",5
"GO:0034121","GO:0034121","regulation of toll-like receptor signaling pathway","2/105","75/18723",0.0663843572261454,0.280317342400214,0.246024251408118,"RSAD2/HMGB1",2
"GO:0043627","GO:0043627","response to estrogen","2/105","75/18723",0.0663843572261454,0.280317342400214,0.246024251408118,"SFRP1/IGFBP2",2
"GO:0061333","GO:0061333","renal tubule morphogenesis","2/105","75/18723",0.0663843572261454,0.280317342400214,0.246024251408118,"MYC/NPNT",2
"GO:0060538","GO:0060538","skeletal muscle organ development","3/105","166/18723",0.0667158122968503,0.281186417929098,0.246787007128402,"EGR1/BTG2/NR4A1",3
"GO:0007254","GO:0007254","JNK cascade","3/105","167/18723",0.0676701765232692,0.281841870245543,0.247362273589287,"CCN2/HMGB1/SFRP1",3
"GO:0043536","GO:0043536","positive regulation of blood vessel endothelial cell migration","2/105","76/18723",0.0679363989278154,0.281841870245543,0.247362273589287,"ATP5F1B/HMGB1",2
"GO:0072028","GO:0072028","nephron morphogenesis","2/105","76/18723",0.0679363989278154,0.281841870245543,0.247362273589287,"MYC/NPNT",2
"GO:0086001","GO:0086001","cardiac muscle cell action potential","2/105","76/18723",0.0679363989278154,0.281841870245543,0.247362273589287,"ATP1B1/DSP",2
"GO:0042176","GO:0042176","regulation of protein catabolic process","5/105","391/18723",0.0691152318628019,0.281841870245543,0.247362273589287,"RPL5/RACK1/CD81/PSME1/TIMP3",5
"GO:0002200","GO:0002200","somatic diversification of immune receptors","2/105","77/18723",0.0695004472358531,0.281841870245543,0.247362273589287,"HMGB1/TFRC",2
"GO:0048644","GO:0048644","muscle organ morphogenesis","2/105","77/18723",0.0695004472358531,0.281841870245543,0.247362273589287,"TPM1/DSP",2
"GO:1903829","GO:1903829","positive regulation of cellular protein localization","4/105","276/18723",0.0698288261498021,0.281841870245543,0.247362273589287,"PRNP/RACK1/CD81/TFRC",4
"GO:0010635","GO:0010635","regulation of mitochondrial fusion","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"TFRC",1
"GO:0014029","GO:0014029","neural crest formation","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"SFRP1",1
"GO:0018202","GO:0018202","peptidyl-histidine modification","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"NME2",1
"GO:0021514","GO:0021514","ventral spinal cord interneuron differentiation","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"LMO4",1
"GO:0021554","GO:0021554","optic nerve development","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"RPL24",1
"GO:0032352","GO:0032352","positive regulation of hormone metabolic process","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"EGR1",1
"GO:0033689","GO:0033689","negative regulation of osteoblast proliferation","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"SFRP1",1
"GO:0034135","GO:0034135","regulation of toll-like receptor 2 signaling pathway","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"HMGB1",1
"GO:0036462","GO:0036462","TRAIL-activated apoptotic signaling pathway","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"TIMP3",1
"GO:0042492","GO:0042492","gamma-delta T cell differentiation","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"EGR3",1
"GO:0042659","GO:0042659","regulation of cell fate specification","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"LMO4",1
"GO:0042769","GO:0042769","DNA damage response, detection of DNA damage","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"RPS3",1
"GO:0060213","GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"BTG2",1
"GO:0061418","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"EGR1",1
"GO:0070316","GO:0070316","regulation of G0 to G1 transition","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"CCN2",1
"GO:0072672","GO:0072672","neutrophil extravasation","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"IL1R1",1
"GO:0090153","GO:0090153","regulation of sphingolipid biosynthetic process","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"CCN1",1
"GO:1900272","GO:1900272","negative regulation of long-term synaptic potentiation","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"PRNP",1
"GO:1902947","GO:1902947","regulation of tau-protein kinase activity","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"EGR1",1
"GO:1905038","GO:1905038","regulation of membrane lipid metabolic process","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"CCN1",1
"GO:2001198","GO:2001198","regulation of dendritic cell differentiation","1/105","13/18723",0.0705234349139876,0.281841870245543,0.247362273589287,"HMGB1",1
"GO:0070373","GO:0070373","negative regulation of ERK1 and ERK2 cascade","2/105","78/18723",0.0710763216852535,0.28290452438339,0.248294926155593,"DUSP6/TIMP3",2
"GO:0006401","GO:0006401","RNA catabolic process","4/105","278/18723",0.0712949739732939,0.28290452438339,0.248294926155593,"BTG2/CIRBP/PABPC4/SCGB1A1",4
"GO:0031349","GO:0031349","positive regulation of defense response","4/105","278/18723",0.0712949739732939,0.28290452438339,0.248294926155593,"HMGB1/TGM2/CD81/IL33",4
"GO:0110053","GO:0110053","regulation of actin filament organization","4/105","278/18723",0.0712949739732939,0.28290452438339,0.248294926155593,"CCN2/TPM1/SFRP1/TMSB10",4
"GO:0006446","GO:0006446","regulation of translational initiation","2/105","79/18723",0.072663843422693,0.283433882163903,0.248759524066527,"RPL13A/EIF3K",2
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","2/105","79/18723",0.072663843422693,0.283433882163903,0.248759524066527,"BPIFA1/DEFB1",2
"GO:0032970","GO:0032970","regulation of actin filament-based process","5/105","397/18723",0.0727269143233222,0.283433882163903,0.248759524066527,"CCN2/TPM1/SFRP1/TMSB10/DSP",5
"GO:0032204","GO:0032204","regulation of telomere maintenance","2/105","80/18723",0.0742628351944154,0.283433882163903,0.248759524066527,"HNRNPA1/MYC",2
"GO:0048145","GO:0048145","regulation of fibroblast proliferation","2/105","80/18723",0.0742628351944154,0.283433882163903,0.248759524066527,"MYC/SFRP1",2
"GO:1901264","GO:1901264","carbohydrate derivative transport","2/105","80/18723",0.0742628351944154,0.283433882163903,0.248759524066527,"NPC2/SLC25A6",2
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation","3/105","174/18723",0.0745243204787408,0.283433882163903,0.248759524066527,"EGR3/HMGB1/SFRP1",3
"GO:0048771","GO:0048771","tissue remodeling","3/105","175/18723",0.075527926058568,0.283433882163903,0.248759524066527,"TGM2/TFRC/SFRP1",3
"GO:0052126","GO:0052126","movement in host environment","3/105","175/18723",0.075527926058568,0.283433882163903,0.248759524066527,"P4HB/CD81/TFRC",3
"GO:1905475","GO:1905475","regulation of protein localization to membrane","3/105","175/18723",0.075527926058568,0.283433882163903,0.248759524066527,"PRNP/RACK1/CD81",3
